,Country,Year,WHI,SPI,GDP,WGI
0,France,2015,6.575,86.08,82.32195122,32.0
1,France,2016,6.478,85.97,82.57317073,31.0
2,France,2017,6.44199991226196,85.78,82.57560976,33.0
3,France,2018,6.489,85.94,82.67560976,32.0
4,France,2019,6.592,86.35,82.82682927,28.29015544041449
5,France,2020,6.66379976272583,86.39,82.17560976,24.86010362694301
6,France,2021,6.689899921417236,86.27,82.32439024,25.0
7,France,2022,6.686699867248535,86.07,85.58414629982144,32.0
